date,name,stock_name,stock_num,unit,avg_price,industry_type,genre
2023-07-20,台灣摩根士丹利,英業達,2356,9701,62.45,電腦及週邊設備業,上市
2023-07-20,台灣摩根士丹利,陽明,2609,6946,47.99,航運業,上市
2023-07-20,台灣摩根士丹利,長榮航,2618,5337,37.39,航運業,上市
2023-07-20,台灣摩根士丹利,開發金,2883,4587,12.39,金融保險業,上市
2023-07-20,台灣摩根士丹利,華航,2610,4041,25.5,航運業,上市
2023-07-20,台灣摩根士丹利,新光金,2888,3715,9.16,金融保險業,上市
2023-07-20,台灣摩根士丹利,台半,5425,2549,98.87,半導體業,上櫃
2023-07-20,台灣摩根士丹利,長榮,2603,2059,100.22,航運業,上市
2023-07-20,台灣摩根士丹利,大成鋼,2027,2010,49.0,鋼鐵工業,上市
2023-07-20,台灣摩根士丹利,宏碁,2353,1872,35.68,電腦及週邊設備業,上市
2023-07-20,美商高盛,新光金,2888,5140,9.15,金融保險業,上市
2023-07-20,美商高盛,宏碁,2353,4881,35.42,電腦及週邊設備業,上市
2023-07-20,美商高盛,元大金,2885,3597,24.33,金融保險業,上市
2023-07-20,美商高盛,大同,2371,3076,52.51,電機機械,上市
2023-07-20,美商高盛,長榮航,2618,2430,37.13,航運業,上市
2023-07-20,美商高盛,華新,1605,2423,40.77,電器電纜,上市
2023-07-20,美商高盛,開發金,2883,2357,12.39,金融保險業,上市
2023-07-20,美商高盛,大亞,1609,2301,39.27,電器電纜,上市
2023-07-20,美商高盛,友達,2409,2046,19.08,光電業,上市
2023-07-20,美商高盛,群創,3481,2040,15.75,光電業,上市
2023-07-20,統一,緯創,3231,4548,132.95,電腦及週邊設備業,上市
2023-07-20,統一,中鋼,2002,2529,29.49,鋼鐵工業,上市
2023-07-20,統一,華航,2610,2404,25.6,航運業,上市
2023-07-20,統一,國泰永續高股息,00878,2360,21.13,,
2023-07-20,統一,長榮航,2618,1692,37.7,航運業,上市
2023-07-20,統一,友達,2409,1094,19.06,光電業,上市
2023-07-20,統一,廣達,2382,1027,208.26,電腦及週邊設備業,上市
2023-07-20,統一,東元,1504,937,52.9,電機機械,上市
2023-07-20,統一,永豐台灣ESG,00888,798,14.07,,
2023-07-20,統一,劍麟,2228,741,107.35,汽車工業,上市
2023-07-20,摩根大通,元大金,2885,6245,24.35,金融保險業,上市
2023-07-20,摩根大通,華航,2610,5712,25.51,航運業,上市
2023-07-20,摩根大通,玉山金,2884,3328,26.51,金融保險業,上市
2023-07-20,摩根大通,長榮航,2618,3154,37.1,航運業,上市
2023-07-20,摩根大通,宏碁,2353,3145,35.52,電腦及週邊設備業,上市
2023-07-20,摩根大通,大亞,1609,2398,39.29,電器電纜,上市
2023-07-20,摩根大通,台新金,2887,1887,19.32,金融保險業,上市
2023-07-20,摩根大通,台積電,2330,1417,581.88,半導體業,上市
2023-07-20,摩根大通,元大台灣50,0050,1268,129.31,,
2023-07-20,摩根大通,康和證,6016,1244,15.41,金融保險業,上櫃
2023-07-20,群益金鼎,國泰永續高股息,00878,2885,21.05,,
2023-07-20,群益金鼎,群益台灣ESG低碳,00923,2293,16.79,,
2023-07-20,群益金鼎,中信電池及儲能,00902,1618,12.87,,
2023-07-20,群益金鼎,健鼎,3044,1220,126.94,電子零組件業,上市
2023-07-20,群益金鼎,富邦恒生國企正2,00665l,960,7.64,,
2023-07-20,群益金鼎,國泰台灣5G+,00881,675,17.71,,
2023-07-20,群益金鼎,啟碁,6285,644,110.69,通信網路業,上市
2023-07-20,群益金鼎,英業達,2356,639,62.28,電腦及週邊設備業,上市
2023-07-20,群益金鼎,國泰美國道瓊反1,00669r,438,7.69,,
2023-07-20,群益金鼎,神達,3706,412,47.66,電腦及週邊設備業,上市
2023-07-20,元大,元大台灣50反1,00632r,24437,4.73,,
2023-07-20,元大,國泰永續高股息,00878,10244,21.12,,
2023-07-20,元大,元大高股息,0056,6369,34.7,,
2023-07-20,元大,元大滬深300正2,00637l,6055,14.59,,
2023-07-20,元大,富邦臺灣加權反1,00676r,3129,2.93,,
2023-07-20,元大,國泰20年美債正2,00688l,2732,11.0,,
2023-07-20,元大,元大美債20正2,00680l,2192,11.08,,
2023-07-20,元大,國泰智能電動車,00893,2166,18.42,,
2023-07-20,元大,遠東銀,2845,2109,11.61,金融保險業,上市
2023-07-20,元大,復華香港正2,00650l,2064,12.4,,
